customer_number,parameter
ESPCGR,Consignment
ESPCHM,Consignment
ESPCHS,Consignment
ESPCHS,Promotional Stand
ESPCKE,Closed
ESPCKI,Closed
ESPCKN,Consignment
ESPCKW,Consignment
ESPCKY,Consignment
ESPCLB,Consignment
ESPCM1,Closed
ESPCMK,Consignment
ESPCMM,Consignment
ESPCMO,Consignment
ESPCMS,Promotional Stand
ESPCN1,Consignment
ESPCNL,Consignment
ESPCNL,Promotional Stand
ESPCOC,Closed
ESPCPA,Consignment
ESPCPB,Consignment
ESPCPS,Consignment
ESPCRA,Consignment
ESPCSG,Consignment
ESPCSO,Closed
ESPCSP,Consignment
ESPCSP,Promotional Stand
ESPCST,Consignment
ESPCSW,Closed
ESPCTB,Closed
ESPCTC,Consignment
ESPCTG,Consignment
ESPCTL,Closed
ESPCTS,Consignment
ESPCTV,Consignment
ESPCVH,Consignment
ESPCW,Consignment
ESPCWB,Consignment
ESPCWE,Closed
ESPCWK,Consignment
ESPCWM,Consignment
ESPGRA,Consignment
ESPGRA,Promotional Stand
ESPHMS,Consignment
ESPKNY,Consignment
ESPKNY,Promotional Stand
ESPKO,Consignment
ESPLIN,Consignment
ESPNEL,Consignment
ESPP14,Consignment
ESPPBB,Consignment
ESPPBB,Promotional Stand
ESPSG1,Consignment
ESPSOM,Consignment
ESPSP1,Consignment
ESPSP2,Consignment
ESPSTL,Consignment
ESPSWT,Consignment
ESPTGV,Consignment
ESPUTG,Consignment
ESPUTG,Promotional Stand
ESPVIS,Consignment
ESPVIS,Promotional Stand
ESTE01,Trading Account
ESTEC1,Consignment
ESTEC1,Promotional Stand
ESTECO,Consignment
ESTI01,Closed
ESTIOC,Consignment
ESTL01,Closed
ESTPC1,Consignment
ESTPOC,Closed
ESTV01,Closed
ETHE01,Closed
ETHE02,Closed
ETHE04,Consignment
ETHL01,Closed
EVIW01,Trading Account
EVIWC1,Consignment
EVIWC2,Consignment
EVIWC2,Promotional Stand
EVIWOC,Closed
FMEC2,Consignment
FMEOC,Consignment
FMOF01,Trading Account
FMOF06,Closed
FMOFC1,Consignment
FMOFC2,Consignment
FMOFC2,Promotional Stand
FMOFC3,Consignment
FMOFC3,Promotional Stand
FMOFC4,Consignment
FMOFC5,Consignment
FMOFC6,Consignment
FMOFOC,Closed
FMOFPM,Consignment
FMOFPM,Promotional Stand
GANL01,Closed
GBEG01,Closed
GEDACO,Consignment
GEDACO,Promotion
GEDEC1,Consignment
GEDEOC,Closed
GEGC1,Consignment
GEGOC,Closed
GHIH02,Closed
GHIHOC,Consignment
GMAA01,Closed
GMEA01,Closed
GMEA02,Trading Account
GMEAC1,Consignment
GMEACO,Consignment
GMEAOC,Consignment
GSAAOC,Consignment
GWAC1,Consignment
GWAN01,Trading Account
HCOE01,Closed
HISOC1,Consignment
HISOC1,Promotional Stand
HKAM01,Closed
HKAM02,Trading Account
HKAO4C,Consignment
HMAA04,Closed
HMAOOC,Consignment
HMOL06,Closed
HRAMFR,Closed
HSCLOC,Consignment
HSCN02,Trading Account
HSCNC1,Consignment
HSCNCO,Consignment
HSCNOC,Closed
HSCO02,Trading Account
HSCOC1,Consignment
HSCOC1,Promotional Stand
HSCOC2,Consignment
HSCOC2,Promotional Stand
HSCOC3,Consignment
HSCOOC,Consignment
HTSAOC,Consignment
HTSEC1,Consignment
HTSEC1,Promotional Stand
HTSECO,Consignment
HTSEOC,Consignment
HUML01,Trading Account
HUMLOC,Consignment
HUMLST,Promotional Stand
HWALC1,Consignment
HWALC2,Consignment
HWALC2,Promotional Stand
HZAEC1,Consignment
HZAEC1,Promotional Stand
IBEN01,Closed
IBRD01,Closed
IBRN01,Closed
IDZNC1,Consignment
IDZNC1,Promotional Stand
IDZNC2,Consignment
IERN03,Trading Account
IERNC1,Promotion
IERNOC,Consignment
IFAROC,Consignment
IFREC1,Consignment
IFREOC,Consignment
IHEN01,Trading Account
IHENC1,Consignment
IHENC2,Closed
IHENC2,Consignment
IHENCS,Consignment
IHENCS,Promotional Stand
IHENOC,Consignment
IIJEC1,Consignment
IIJEC1,Promotional Stand
IKRE01,Closed
IKRE02,Closed
IKRE04,Closed
IKRT01,Closed
IMEE02,Closed
IMER03,Trading Account
IMERC1,Consignment
IMERCO,Promotion
IMEROC,Consignment
INAD02,Trading Account
INAD04,Trading Account
INADC1,Consignment
INADC2,Closed
INADC3,Promotional Stand
INADCO,Consignment
INADOC,Consignment
INADVM,Consignment
IOLVC1,Consignment
IONOOC,Consignment
IPAG01,Closed
IPAG01,Trading Account
IPAG2C,Consignment
IPAGC1,Consignment
IPAGCO,Consignment
IPAGOC,Consignment
ISMTC1,Consignment
ISMTOC,Consignment
ISPL01,Closed
ISPL02,Trading Account
ISPLC1,Consignment
ISPLCE,Consignment
ISPLCE,Promotional Stand
ISPLOC,Closed
IWAN01,Closed
IWEN01,Closed
JSEAOC,Consignment
KACE01,Closed
KATI01,Closed
KBAEC2,Consignment
KBAEC2,Promotional Stand
KDEAOC,Consignment
KJAEC1,Consignment
KJAEC1,Promotional Stand
KKOSC1,Consignment
KKOSC1,Promotional Stand
KMAA02,Trading Account
KMAA03,Closed
KMAAC1,Consignment
KMAACO,Consignment
KMOH01,Closed
KMOOC1,Consignment
KMOOC1,Promotional Stand
KOAS0C,Closed
KOAS0C,Consignment
KOSOOC,Consignment
LALI02,Closed
LBAL01,Closed
LBAT01,Closed
LBOL01,Closed
LELEOC,Consignment
LFECO,Consignment
LFIAOC,Consignment
LGIE01,Closed
LGIEOC,Closed
LGIEOC,Consignment
LHOLCO,Consignment
LLAU01,Closed
LMAAC1,Consignment
LMAAOC,Consignment
LMEL06,Promotional Stand
LMELC1,Consignment
LMELC2,Promotion
LMELC2,Promotional Stand
LMELC3,Closed
LMELC3,Consignment
LMELC4,Promotional Stand
LMELC5,Consignment
LMELC5,Promotional Stand
LMELC6,Consignment
LMELC6,Promotional Stand
LMELC7,Consignment
LMELC7,Promotional Stand
LMELOC,Closed
LMEVOC,Consignment
LMOD01,Closed
LMODOC,Consignment
LMUL10,Closed
LNEOC,Consignment
LPIL04,Closed
LSAE01,Closed
LSAE06,Consignment
LSOEC3,Consignment
LSOEC3,Promotional Stand
LSOEOC,Consignment
LSOEPR,Promotion
LSOO01,Trading Account
LSOOC1,Consignment
LSOOOC,Closed
LTIL01,Trading Account
LTILCO,Consignment
LTILOC,Consignment
LTILOC,Promotional Stand
LVAJC1,Consignment
LVIL01,Closed
LVIL02,Trading Account
LVILC1,Consignment
LVILOC,Closed
LWAS01,Closed
LWIC01,Closed
LWIK02,Closed
LWIL02,Closed
LWIL03,Closed
LWIS01,Closed
MASAC1,Consignment
MASAC1,Promotional Stand
MASAOC,Consignment
MCAPC1,Consignment
MCOA01,Closed
MFEIOC,Consignment
MGACO,Consignment
MGACO,Promotional Stand
MGAS01,Trading Account
MLECO,Consignment
MLEN01,Trading Account
MLOBC1,Consignment
MMOEC1,Consignment
MMOEC1,Promotional Stand
MNAI01,Closed
MOSAOC,Consignment
MRAKOC,Closed
MRAU01,Closed
MSAW01,Trading Account
MSAW02,Trading Account
MSAWC1,Consignment
MSAWC1,Promotional Stand
MSAWC2,Consignment
NBEM01,Closed
NBET01,Closed
NBOD01,Closed
NBOT01,Closed
NBOT02,Closed
NBOT03,Closed
NCOS01,Closed
NCOS02,Consignment
NDUD01,Closed
NJIAC1,Consignment
NJIAC1,Promotional Stand
NJOE03,Closed
NKEYOC,Consignment
NKIGOC,Consignment
NKOQ01,Trading Account
NKOQC1,Consignment
NKOQOC,Closed
NLIK01,Closed
NMAA02,Closed
NMAOC1,Consignment
NMAOCC,Consignment
NMAOOC,Consignment
NMESOC,Consignment
NMIG01,Closed
NMIGC1,Consignment
NMIGC2,Consignment
NMIGC2,Promotional Stand
NMOEOC,Consignment
NPINC1,Consignment
NRADC1,Consignment
NRADOC,Consignment
NRASC1,Consignment
NSADOC,Consignment
NSUC01,Closed
NSUC10,Promotion
NSUERM,Consignment
NSUERM,Promotional Stand
NSUEYE,Consignment
NSUEYE,Promotional Stand
NSUG02,Closed
NSUG11,Trading Account
NSUG17,Closed
NSUG4U,Promotional Stand
NSUGC1,Promotional Stand
NSUGC2,Promotional Stand
NSUGC4,Closed
NSUGC5,Consignment
NSUGC5,Promotional Stand
NSUGC7,Closed
NSUGC8,Consignment
NSUGC9,Promotion
NSUGEG,Consignment
NSUGEG,Promotional Stand
NSUGHT,Consignment
NSUGME,Promotional Stand
NSUGOC,Consignment
NSUGSZ,Consignment
NSUGZS,Consignment
NSUGZS,Promotional Stand
NSUN01,Closed
NSUO03,Closed
NSUOOC,Closed
NSUOPT,Consignment
NSUS08,Closed
NSUSC1,Consignment
NSUSOC,Closed
NSUWR1,Consignment
NVAA01,Closed
NVABC1,Promotion
NVABCO,Consignment
NVABOC,Closed
NVAD02,Closed
NVAD04,Closed
NVAD08,Closed
NVAG02,Closed
